Brand_Name,Total_Spend_Sum,Total_Spend_Mean,Purchase_Count,Quantity_Sum,Quantity_Mean,Price_Mean,Price_Max,Top_Category,Category_Diversity,Spending_Concentration,"Arts, Crafts & Sewing",Automotive,Baby Products,Beauty & Personal Care,Cell Phones & Accessories,"Clothing, Shoes & Jewelry",Electronics,Grocery & Gourmet Food,Health & Household,Hobbies,Home & Kitchen,Industrial & Scientific,Movies & TV,Musical Instruments,Office Products,"Patio, Lawn & Garden",Pet Supplies,Remote & App Controlled Vehicle Parts,Remote & App Controlled Vehicles & Parts,Sports & Outdoors,Tools & Home Improvement,Toys & Games,Unknown,Video Games,Cluster,PCA1,PCA2
"""Barbie",15.0,7.5,2,2.0,1.0,7.5,11.1,Toys & Games,1,0.9999999999933333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0,-0.9558989656919704,-0.44732729358936546
"""Birthday",11.7,11.7,1,1.0,1.0,11.7,11.7,Toys & Games,1,0.999999999991453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0,-1.0157113859541942,-0.3531234517917063
"""Buggy""",6.09,6.09,1,1.0,1.0,6.09,6.09,Toys & Games,1,0.9999999999835797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09,0.0,0.0,0,-1.0659818788111952,-0.4479543804520987
"""Build-A-City""",39.86,39.86,1,1.0,1.0,39.86,39.86,Toys & Games,1,0.9999999999974912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86,0.0,0.0,0,-0.7633732256837629,0.12289062143910398
"""Chicago",4.58,4.58,1,1.0,1.0,4.58,4.58,Toys & Games,1,0.9999999999781659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.58,0.0,0.0,0,-1.0795127957787707,-0.4734792828232162
"""Cincinnati",9.83,9.83,1,1.0,1.0,9.83,9.83,Toys & Games,1,0.999999999989827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.83,0.0,0.0,0,-1.0324682169079311,-0.3847337613438319
"""Despicable",15.45,7.72,2,2.0,1.0,7.72,11.29,Toys & Games,1,0.9999999999935275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.45,0.0,0.0,0,-0.9534131601698902,-0.44368356432891315
"""Disney",19.74,6.58,3,3.0,1.0,6.58,7.38,Toys & Games,1,0.9999999999949343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.740000000000002,0.0,0.0,0,-0.8881430513754777,-0.5114290412820324
"""Donut",4.62,4.62,1,1.0,1.0,4.62,4.62,Toys & Games,1,0.999999999978355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.62,0.0,0.0,0,-1.0791543608922765,-0.4728031264689531
"""F-O-U-R""",7.66,7.66,1,1.0,1.0,7.66,7.66,Home & Kitchen,1,0.9999999999869452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-1.0536881048158255,-0.40287695348906005
"""Happy",22.24,7.41,3,3.0,1.0,7.41,14.15,Toys & Games,1,0.9999999999955037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.240000000000002,0.0,0.0,0,-0.8608962319649507,-0.47388448596413374
"""Jurassic",14.76,14.76,1,1.0,1.0,14.76,14.76,Toys & Games,1,0.999999999993225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.76,0.0,0.0,0,-0.988291117119558,-0.30139749070760113
